,Postcode,Income Per Person
1134,3738,2828
1135,3739,2828
1136,3740,5025
1137,3740,2828
1138,3741,5025
1139,3744,5025
1140,3746,6143
1141,3747,6143
1142,3747,2784
1143,3749,3001
1144,3750,
1145,3750,
1146,3751,
1147,3751,4855
1148,3752,10984
1149,3752,
1150,3753,11176
1151,3753,4855
1152,3754,2195
1153,3754,3317
1154,3754,
1155,3755,3317
1156,3755,4855
1157,3756,11176
1158,3756,5883
1159,3757,2329
1160,3757,4855
1161,3758,11176
1162,3759,3317
1163,3760,3317
1164,3761,3317
1165,3762,11176
1166,3762,5883
1167,3763,2329
1168,3763,3317
1169,3764,8053
1170,3764,2454
1171,3764,5883
1172,3765,4102
1173,3765,13601
1174,3765,6085
1175,3766,4102
1176,3766,6085
1177,3766,5976
1178,3767,6085
1179,3770,8182
1180,3770,11566
1181,3770,5021
1182,3775,3317
1183,3775,8182
1184,3777,2329
1185,3777,8182
1186,3777,9341
1187,3778,3692
1188,3779,3692
1189,3781,11140
1190,3782,3592
1191,3782,6085
1192,3782,11140
1193,3783,11140
1194,3785,6085
1195,3786,6085
1196,3787,
1197,3787,6085
1198,3788,3592
1199,3788,6085
1200,3789,6085
1201,3791,6085
1202,3792,3592
1203,3792,6085
1204,3793,3592
1205,3793,6085
1206,3795,3592
1207,3795,6085
1208,3796,5976
1209,3796,5021
1210,3797,9341
1211,3799,97
1212,3799,9341
1213,3800,11056
1214,3802,
1215,3803,5791
1216,3803,5159
1217,3804,6372
1218,3804,5159
1219,3805,15969
1220,3805,
1221,3805,
1222,3806,14015
1223,3806,15969
1224,3806,5159
1225,3807,11922
1226,3807,15969
1227,3808,11922
1228,3808,11140
1229,3809,11922
1230,3809,4848
1231,3810,5567
1232,3810,11140
1233,3810,4848
1234,3810,11529
1235,3810,16821
1236,3812,5567
1237,3812,11140
1238,3813,5567
1239,3814,5567
1240,3815,5567
1241,3816,9763
1242,3816,5567
1243,3816,4848
1244,3818,9763
1245,3818,3730
1246,3818,12240
1247,3820,12240
1248,3821,3730
1249,3821,
1250,3821,12240
1251,3822,
1252,3822,12240
1253,3823,
1254,3823,12240
1255,3824,
1256,3825,3730
1257,3825,
1258,3825,8017
1259,3825,2708
1260,3831,3730
1261,3832,3730
1262,3833,3730
1263,3833,9341
1264,3835,
1265,3835,6495
1266,3840,6326
1267,3840,6029
1268,3842,6326
1269,3844,6326
1270,3844,15725
1271,3844,2708
1272,3844,2281
1273,3844,2856
1274,3847,2281
1275,3847,2856
1276,3850,2291
1277,3850,7910
1278,3850,8160
1279,3851,2291
1280,3851,7910
1281,3851,2281
1282,3851,8160
1283,3851,2856
1284,3852,2291
1285,3854,2708
1286,3854,2281
1287,3856,2708
1288,3856,2281
1289,3857,2708
1290,3857,7910
1291,3857,2281
1292,3858,19
1293,3858,7910
1294,3858,2281
1295,3859,7910
1296,3860,7910
1297,3862,4665
1298,3862,19
1299,3862,2291
1300,3862,7910
1301,3864,4665
1302,3865,4665
1303,3869,6326
1304,3870,6495
1305,3870,6326
1306,3870,2856
1307,3871,
1308,3871,4997
1309,3871,6495
1310,3871,6326
1311,3873,2281
1312,3873,2856
1313,3874,2856
1314,3875,8186
1315,3875,4665
1316,3875,3462
1317,3878,8186
1318,3878,3462
1319,3880,3462
1320,3880,2291
1321,3882,4665
1322,3885,4665
1323,3885,3260
1324,3886,3260
1325,3887,5343
1326,3887,3260
1327,3888,3260
1328,3889,3260
1329,3890,3260
1330,3891,3260
1331,3892,3260
1332,3893,4665
1333,3893,3260
1334,3895,4665
1335,3896,4665
1336,3898,5025
1337,3898,4665
1338,3900,4665
1339,3902,4665
1340,3903,4665
1341,3903,5343
1342,3904,5343
1343,3909,5343
1344,3909,3260
1345,3910,14904
1346,3911,14904
1347,3911,11527
1348,3912,4796
1349,3912,11527
1350,3913,11527
1351,3915,3770
1352,3915,12638
1353,3916,3770
1354,3918,12638
1355,3919,12638
1356,3920,12638
1357,3921,43
1358,3922,6534
1359,3923,6534
1360,3925,6534
1361,3925,12695
1362,3926,3770
1363,3926,12638
1364,3927,12638
1365,3928,3770
1366,3929,3770
1367,3930,11642
1368,3931,14806
1369,3933,11527
1370,3934,11837
1371,3936,7194
1372,3936,11356
1373,3937,3770
1374,3938,11356
1375,3939,3770
1376,3939,10772
1377,3939,11356
1378,3940,11356
1379,3941,10772
1380,3942,10772
1381,3943,10772
1382,3944,10772
1383,3945,5427
1384,3945,12695
1385,3946,5427
1386,3950,5427
1387,3950,6495
1388,3951,5427
1389,3951,6495
1390,3953,
1391,3953,5427
1392,3953,6495
1393,3954,6495
1394,3956,4997
1395,3956,6495
1396,3957,4997
1397,3958,4997
1398,3959,4997
1399,3960,4997
1400,3960,9
1401,3962,4997
1402,3962,2856
1403,3964,4997
1404,3965,4997
1405,3966,4997
1406,3966,2856
1407,3967,4997
1408,3967,2856
1409,3971,2856
1410,3975,9537
1411,3975,15915
1412,3976,13531
1413,3977,11063
1414,3977,25862
1415,3977,12900
1416,3977,7413
1417,3977,10528
1418,3977,
1419,3977,4796
1420,3977,8253
1421,3978,4848
1422,3978,25862
1423,3978,7413
1424,3979,12695
1425,3980,4848
1426,3980,4796
1427,3981,9763
1428,3981,5567
1429,3981,4848
1430,3984,5427
1431,3984,12695
1432,3984,4848
1433,3987,5427
1434,3987,4848
1435,3988,9763
1436,3988,12240
1437,3988,5427
1438,3990,12695
1439,3991,12695
1440,3992,12695
1441,3995,12695
1442,3996,4997
1443,3996,12695
