,Postcode,Centroid
1869,3525,-36.2835 143.364316
1886,3527,-36.07096 143.241334
1899,3529,-35.824259 143.232677
1901,3530,-35.701439 143.152747
1905,3531,-35.616408 142.943814
1908,3533,-35.384557 142.839304
1921,3537,-36.079335 143.744455
1930,3540,-35.89277 143.45008
1934,3542,-35.700788 143.406398
1938,3544,-35.51717216 143.1754083
1945,3546,-35.060163 142.850456
1952,3549,-34.766049 142.820973
1964,3550,-36.764269 144.285267
1980,3551,-36.78137 144.457937
2021,3552,-37.825288 145.011924
2022,3554,-36.757 144.279
2023,3555,-36.777226 144.245239
2029,3556,-36.656422 144.178282
2040,3557,-36.63511 144.576787
2045,3558,-36.51553 144.638363
2051,3559,-36.570077 144.805307
2059,3561,-36.321109 144.709543
2071,3562,-36.062544 144.46276
2072,3563,-36.256251 144.515589
2073,3564,-36.18096611 144.6014151
2087,3565,-36.182336 144.511713
2088,3566,-35.945748 144.383334
2089,3567,-35.931669 144.262942
2091,3568,-35.809462 144.184089
2102,3570,-36.515303 144.28053
2108,3571,-36.36819 144.206865
2113,3572,-36.266642 144.257135
2117,3573,-36.164865 144.297958
2122,3575,-36.055725 144.159028
2132,3576,-36.128029 143.917515
2133,3579,-35.767974 143.769445
2163,3580,-35.639761 144.094672
2164,3581,-35.628333 143.78521
2166,3583,-35.509635 143.66458
2167,3584,-35.431026 143.637617
2169,3585,-35.348388 143.336906
2184,3586,-35.114021 143.792594
2191,3588,-35.29429 143.470325
2192,3589,-35.228436 143.441248
2194,3590,-35.235708 143.493525
2195,3591,-35.202209 143.394092
2196,3594,-35.138155 143.346028
2197,3595,-35.202752 143.351682
2198,3596,-35.123806 143.327682
2201,3597,-34.965359 143.189786
2207,3599,-34.729742 143.143231
2208,3607,-36.839707 145.179762
2209,3608,-36.740713 145.095753
2217,3610,-36.577628 145.229349
2222,3612,-36.575936 145.019312
2228,3614,-36.479193 145.30098
2230,3616,-36.464118 145.145217
2239,3617,-36.423823 145.178369
2240,3618,-36.37708 145.125014
2241,3619,-37.659566 144.936295
2242,3620,-36.284584 145.082735
2250,3621,-36.206055 144.961183
2256,3622,-36.231961 144.87573
2259,3623,-36.461381 144.976813
2262,3624,-36.410186 144.965763
2263,3629,-36.287306 145.260653
2268,3630,-36.380853 145.403176
2275,3631,-36.428694 145.526693
2290,3632,-36.544462 145.603242
2291,3633,-36.307936 145.46296
2292,3634,-36.224186 145.440315
2300,3635,-36.142596 145.30827
2303,3636,-36.093878 145.479471
2307,3637,-36.050686 145.329026
2309,3638,-36.03202 145.246572
2312,3639,-36.021295 145.047253
2316,3640,-36.00978 145.486015
2317,3641,-35.89718 145.428306
2321,3643,-35.955363 145.631874
2322,3644,-35.945353 145.632682
2327,3646,-36.247446 145.704042
2335,3647,-36.385331 145.704473
2336,3649,-36.082665 145.688671
2338,3658,-37.241401 145.111854
2349,3659,-37.110344 145.07088
2351,3660,-37.035925 145.257867
2363,3661,-38.195993 146.535346
2364,3662,-36.9356483 144.9486555
2366,3663,-36.910878 145.158863
2367,3664,-36.927251 145.298203
2369,3665,-36.844091 145.357627
2372,3666,-36.786777 145.565512
2389,3669,-36.625333 145.708668
2400,3670,-36.623748 145.852449
2403,3671,-36.385144 145.420691
2404,3672,-36.554936 145.977761
2406,3673,-36.669929 146.062514
2425,3675,-36.565078 146.266835
2435,3676,-36.341245 146.338612
2436,3677,-36.358017 146.330564
2440,3678,-36.68892 146.482439
2475,3682,-36.174271 146.428656
2479,3683,-36.180787 146.604622
2483,3685,-36.056449 146.470638
2494,3687,-36.018771 146.415927
2496,3688,-36.119195 146.717193
2500,3689,-37.67576 144.989793
2501,3690,-36.135717 146.864361
2504,3691,-36.027154 147.880991
2541,3694,-36.150678 146.919493
2543,3695,-36.304285 147.123674
2547,3697,-36.68753 147.17925
2548,3698,-36.722034 147.149468
2549,3699,-36.844307 147.299257
2553,3700,-36.335898 147.35527
2558,3701,-36.638769 147.476819
2569,3704,-36.132613 147.49344
2570,3705,-36.322884 147.769911
2572,3707,-36.586316 148.037958
2580,3708,-36.070928 147.942058
2581,3709,-36.035908 147.667373
2586,3711,-37.41047 145.682161
2587,3712,-37.3209 145.839057
2589,3713,-37.241527 145.90623
2592,3714,-37.210538 145.687889
2602,3715,-36.985747 145.739419
2605,3717,-37.286611 145.435776
2613,3718,-37.144067 145.54096
2614,3719,-37.041215 145.608491
2618,3720,-37.017241 145.850304
2619,3722,-37.202634 146.253268
2622,3723,-36.894465 146.256507
2648,3724,-37.053108 146.076832
2649,3725,-36.414359 145.937326
2654,3726,-36.332254 145.960209
2658,3727,-36.242443 145.957776
2664,3728,-36.148922 145.959015
2668,3730,-36.051782 145.974755
2678,3732,-36.686814 146.313751
2680,3733,-36.812087 146.316338
2681,3735,-36.515712 146.603574
2685,3736,-36.455136 146.479489
2686,3737,-36.554037 146.82759
2701,3738,-36.587922 146.75397
2702,3739,-36.641016 146.864194
2703,3740,-36.731686 146.834561
2706,3741,-36.962316 147.063163
2713,3744,-36.788479 146.95979
2714,3746,-36.31396 146.51767
2715,3747,-36.361056 146.725705
2723,3749,-36.42031113 146.8638108
2725,3750,-37.596078 145.005578
2726,3751,-37.554655 145.052904
2727,3752,-37.619102 145.074353
2729,3753,-37.476474 144.959512
2730,3754,-37.593554 145.112985
2732,3755,-37.563905 145.142035
2733,3756,-37.41233 144.956641
2739,3757,-37.469784 145.182221
2746,3758,-37.354647 145.052552
2748,3759,-37.650385 145.247277
2749,3760,-37.624929 145.288073
2751,3761,-37.585625 145.292381
2752,3762,-37.354143 144.936707
2753,3763,-37.521863 145.353378
2755,3764,-37.263736 144.900644
2763,3765,-37.814771 145.346621
2764,3766,-37.817818 145.384955
2765,3767,-37.839387 145.347505
2766,3770,-37.708784 145.416004
2769,3775,-37.642852 145.365993
2774,3777,-37.606088 145.513804
2782,3778,-37.537492 145.623011
2784,3779,-37.539267 145.784751
2786,3781,-37.938471 145.487862
2789,3782,-37.938068 145.433024
2793,3783,-37.947379 145.596576
2794,3785,-37.885138 145.316734
2795,3786,-37.878188 145.332431
2796,3787,-37.866786 145.350888
2798,3788,-37.848036 145.377128
2799,3789,-37.889767 145.357336
2800,3791,-37.896917 145.379622
2801,3792,-37.89424 145.405388
2802,3793,-37.874533 145.429715
2803,3795,-37.836663 145.430311
2804,3796,-37.786977 145.384922
2805,3797,-37.867809 145.786343
2810,3799,-37.727566 145.818512
2817,3800,-37.910545 145.134935
2818,3802,-37.971763 145.255599
2819,3803,-38.009435 145.265524
2820,3804,-37.980059 145.325994
2822,3805,-38.037026 145.304198
2825,3806,-38.025018 145.349488
2827,3807,-38.048316 145.371635
2829,3808,-38.002518 145.42327
2831,3809,-38.069094 145.406887
2833,3810,-38.04658 145.472514
2837,3812,-38.070135 145.565304
2840,3813,-38.064252 145.634339
2842,3814,-38.10718 145.669112
2846,3815,-38.01378 145.726311
2850,3816,-38.043542 145.787991
2854,3818,-38.096289 145.867337
2863,3820,-38.207476 145.922212
2866,3821,-37.919937 145.945214
2886,3822,-38.194379 145.989901
2889,3823,-38.210382 146.065656
2892,3824,-38.245649 146.16397
2898,3825,-37.978862 146.342932
2929,3831,-37.993258 146.013136
2932,3832,-37.919937 145.945214
2935,3833,-37.84222154 145.851865
2947,3835,-38.290637 146.175271
2948,3840,-38.245215 146.424457
2959,3841,-37.5832 147.463
2960,3842,-38.315452 146.414358
2961,3844,-38.316869 146.607101
2978,3847,-38.166213 146.772991
2983,3850,-38.224191 147.106181
2988,3851,-38.035548 147.084398
3015,3852,-38.10361729 147.1414369
3018,3853,-38.095569 146.059953
3019,3854,-38.12413 146.596877
3022,3856,-38.063907 146.672206
3023,3857,-38.018616 146.694894
3024,3858,-37.3690401 146.8291658
3045,3859,-37.886136 146.848259
3050,3860,-37.571707 146.805175
3066,3862,-37.55304411 147.130018
3084,3864,-37.860878 147.341513
3087,3865,-37.796743 147.455946
3088,3869,-38.364689 146.359836
3091,3870,-38.437946 146.319351
3098,3871,-38.42207 146.158866
3108,3873,-38.298267 146.708775
3109,3874,-38.514438 146.836248
3115,3875,-37.826032 147.63201
3150,3878,-37.898544 147.680121
3151,3880,-37.914728 147.727389
3155,3882,-37.812017 147.764385
3156,3885,-37.01610136 148.0696953
3173,3886,-37.770977 148.426851
3174,3887,-37.757895 148.116641
3177,3888,-37.39051 148.660943
3203,3889,-37.610841 148.873952
3211,3890,-37.566489 149.217216
3219,3891,-37.567684 149.538907
3226,3892,-37.563775 149.909868
3227,3893,-37.495349 147.866067
3230,3895,-37.379331 147.887515
3235,3896,-37.264671 147.707962
3240,3898,-37.066169 147.464799
3253,3900,-36.88053 147.826143
3256,3902,-37.797042 147.814894
3258,3903,-37.811303 147.867533
3259,3904,-37.881041 147.839367
3260,3909,-37.821921 147.970237
3268,3910,-38.156369 145.198328
3269,3911,-38.196908 145.169556
3271,3912,-38.217991 145.227373
3273,3913,-38.262273 145.166426
3274,3915,-38.305806 145.136622
3276,3916,-38.415199 145.050587
3279,3918,-38.339871 145.155546
3280,3919,-38.352327 145.199777
3281,3920,-38.38752 145.19304
3283,3921,-38.41571044 145.3687444
3286,3922,-38.482182 145.231974
3295,3923,-38.465552 145.293632
3296,3925,-38.528213 145.379683
3300,3926,-38.355231 145.094502
3304,3927,-38.383368 145.153269
3305,3928,-38.407828 144.975131
3306,3929,-38.460965 144.976673
3307,3930,-38.195017 145.093743
3309,3931,-38.230038 145.049503
3310,3933,-38.261168 145.096992
3311,3934,-38.2783 145.031598
3312,3936,-38.326447 145.007626
3315,3937,-38.373694 145.01994
3317,3938,-38.354321 144.931834
3318,3939,-38.42776 144.900413
3323,3940,-38.37363083 144.8754149
3325,3941,-38.396077 144.827203
3328,3942,-38.367874 144.768301
3329,3943,-38.345527 144.739101
3330,3944,-38.321871 144.692708
3331,3945,-38.381582 145.697053
3336,3946,-38.448155 145.723537
3337,3950,-38.435217 145.812945
3342,3951,-38.47372 145.798419
3350,3953,-38.460127 145.995174
3365,3954,-38.550379 145.937973
3366,3956,-38.597018 145.955341
3377,3957,-38.589302 146.126718
3379,3958,-38.673841 145.987059
3381,3959,-38.734636 146.066529
3386,3960,-39.140761 146.360412
3400,3962,-38.60357 146.359804
3408,3964,-38.685115 146.278804
3409,3965,-38.693437 146.472132
3410,3966,-38.630568 146.436583
3413,3967,-38.647562 146.507929
3414,3971,-38.631942 146.815723
3436,3975,-38.05354 145.231114
3438,3976,-38.043995 145.264296
3439,3977,-38.1466398 145.2695101
3451,3978,-38.135009 145.384606
3454,3979,-38.44818 145.591284
3458,3980,-38.204448 145.356937
3461,3981,-38.207298 145.575
3468,3984,-38.312647 145.563979
3481,3987,-38.309048 145.689142
3482,3988,-38.313447 145.811863
3486,3989,49.1805 -2.10323
3487,3990,-38.455399 145.501279
3488,3991,-38.483041 145.466781
3489,3992,-38.569135 145.534315
3493,3995,-38.578071 145.630713
3507,3996,-38.629561 145.745609
3509,8001,-38.365017 144.76592
3510,8002,-37.818517 144.982207
3511,8003,-37.8183 144.957
3512,8004,-36.5587997 145.4689942
3513,8005,-37.824608 144.950858
3514,8006,-37.8097006 144.9593062
3515,8007,-37.8183 144.957
3516,8008,-37.844246 144.970161
3517,8009,-37.817201 144.964531
3518,8010,-38.185857 146.293728
3519,8011,-37.8113144 144.9617461
3520,8012,-37.814719 144.948039
3521,8045,-37.844246 144.970161
3522,8051,-37.844246 144.970161
3523,8066,-37.844246 144.970161
3524,8069,-37.844246 144.970161
3525,8070,-37.844246 144.970161
3526,8071,-37.844246 144.970161
3527,8102,-37.844246 144.970161
3528,8107,-37.844246 144.970161
3529,8111,-37.844246 144.970161
3530,8120,-37.844246 144.970161
3531,8205,-37.844246 144.970161
3532,8785,-38.016114 145.208504
