,Postcode,Baths,Income,Parking,Bedrooms,Count_Shopping_Center,Weekly Rental Price,Pred_2023,Pred_2024,Pred_2025,rate_2023,rate_2024,rate_2025
8518,3204,2,66951.21864322622,1,3,0.0,765.0,747.8454309519586,862.9107560812445,870.0716133640767,-0.02242427326541355,0.15386244318269773,0.008298491161880977
8519,3205,2,76204.6539490241,2,3,0.0,1100.0,1082.5123205381883,1101.4717485684912,1111.0121875710902,-0.015897890419828812,0.01751428382900705,0.008661537633623427
8520,3205,1,76204.6539490241,0,1,0.0,545.0,434.4800972494056,445.60192773373603,453.76463673749384,-0.20278881238641172,0.02559802061070274,0.018318387995474153
8521,3205,1,76204.6539490241,0,2,0.0,695.0,600.2844998332339,596.8421454563728,593.3175100778623,-0.13628129520398,-0.00573453816951365,-0.005905473340552117
8522,3205,2,76204.6539490241,2,3,0.0,1400.0,1082.5123205381883,1101.4717485684912,1111.0121875710902,-0.22677691390129406,0.01751428382900705,0.008661537633623427
8523,3205,2,76204.6539490241,1,2,0.0,550.0,792.850356825533,841.7760128748391,881.5203829709737,0.44154610331915095,0.06170856281782844,0.04721489979311643
8524,3205,1,76204.6539490241,0,1,0.0,450.0,434.4800972494056,445.60192773373603,453.76463673749384,-0.03448867277909863,0.02559802061070274,0.018318387995474153
8525,3205,1,76204.6539490241,0,1,0.0,325.0,434.4800972494056,445.60192773373603,453.76463673749384,0.33686183769047884,0.02559802061070274,0.018318387995474153
8526,3205,2,76204.6539490241,1,2,0.0,735.0,792.850356825533,841.7760128748391,881.5203829709737,0.07870796847011297,0.06170856281782844,0.04721489979311643
8527,3205,1,76204.6539490241,0,1,0.0,525.0,434.4800972494056,445.60192773373603,453.76463673749384,-0.17241886238208454,0.02559802061070274,0.018318387995474153
8528,3205,2,76204.6539490241,1,2,0.0,600.0,792.850356825533,841.7760128748391,881.5203829709737,0.3214172613758884,0.06170856281782844,0.04721489979311643
8529,3205,2,76204.6539490241,2,2,0.0,670.0,790.424102115732,808.7682957787043,821.550826642902,0.17973746584437614,0.023208039347320412,0.015804935642154905
8530,3205,1,76204.6539490241,1,3,0.0,720.0,746.4732347743169,725.3570238020583,732.1685501420013,0.03676838163099568,-0.028287967992104538,0.009390584383176569
8531,3205,1,76204.6539490241,1,1,0.0,550.0,463.82419739071213,443.8720596210744,416.47491699518173,-0.15668327747143249,-0.04301659525716941,-0.06172306193203765
8532,3205,1,76204.6539490241,1,2,0.0,530.0,622.0454174623165,627.3159861197416,640.9362123380215,0.1736705989855029,0.008472964367982628,0.021711906789635117
8533,3205,2,76204.6539490241,0,3,0.0,1400.0,943.4644905009629,982.8892375145705,1050.6256746142642,-0.32609679249931217,0.041787208114927255,0.06891563618193508
8534,3205,1,76204.6539490241,1,2,0.0,775.0,622.0454174623165,627.3159861197416,640.9362123380215,-0.19736075166152703,0.008472964367982628,0.021711906789635117
8535,3205,1,76204.6539490241,1,1,0.0,340.0,463.82419739071213,443.8720596210744,416.47491699518173,0.36418881585503565,-0.04301659525716941,-0.06172306193203765
8536,3205,2,76204.6539490241,1,4,0.0,1200.0,1166.0385230769825,1219.4414741003745,1269.8683743455829,-0.028301230769181226,0.0457986163977417,0.04135245628119223
8537,3205,2,76204.6539490241,2,2,0.0,750.0,790.424102115732,808.7682957787043,821.550826642902,0.05389880282097602,0.023208039347320412,0.015804935642154905
8538,3205,1,76204.6539490241,0,2,0.0,750.0,600.2844998332339,596.8421454563728,593.3175100778623,-0.19962066688902147,-0.00573453816951365,-0.005905473340552117
8539,3205,1,76204.6539490241,0,2,0.0,700.0,600.2844998332339,596.8421454563728,593.3175100778623,-0.14245071452395158,-0.00573453816951365,-0.005905473340552117
8540,3205,2,76204.6539490241,1,3,0.0,640.0,983.4180483111342,1044.6985710073918,1162.6297687467732,0.5365907004861471,0.06231380723741782,0.11288538245597629
8541,3205,1,76204.6539490241,0,2,0.0,525.0,600.2844998332339,596.8421454563728,593.3175100778623,0.1433990473013979,-0.00573453816951365,-0.005905473340552117
8542,3205,1,76204.6539490241,1,3,0.0,650.0,746.4732347743169,725.3570238020583,732.1685501420013,0.14842036119125676,-0.028287967992104538,0.009390584383176569
8543,3205,1,76204.6539490241,0,1,0.0,220.0,434.4800972494056,445.60192773373603,453.76463673749384,0.9749095329518437,0.02559802061070274,0.018318387995474153
8544,3205,1,76204.6539490241,1,2,0.0,780.0,622.0454174623165,627.3159861197416,640.9362123380215,-0.2025058750483121,0.008472964367982628,0.021711906789635117
8545,3205,1,76204.6539490241,1,2,0.0,550.0,622.0454174623165,627.3159861197416,640.9362123380215,0.13099166811330282,0.008472964367982628,0.021711906789635117
8546,3205,2,76204.6539490241,1,2,0.0,695.0,792.850356825533,841.7760128748391,881.5203829709737,0.14079188032450796,0.06170856281782844,0.04721489979311643
8547,3205,1,76204.6539490241,1,2,0.0,500.0,622.0454174623165,627.3159861197416,640.9362123380215,0.2440908349246331,0.008472964367982628,0.021711906789635117
8548,3205,1,76204.6539490241,0,1,0.0,425.0,434.4800972494056,445.60192773373603,453.76463673749384,0.02230611117507204,0.02559802061070274,0.018318387995474153
8549,3205,2,76204.6539490241,1,2,0.0,565.0,792.850356825533,841.7760128748391,881.5203829709737,0.4032749678328018,0.06170856281782844,0.04721489979311643
8550,3205,2,76204.6539490241,1,2,0.0,1500.0,792.850356825533,841.7760128748391,881.5203829709737,-0.4714330954496446,0.06170856281782844,0.04721489979311643
8551,3205,2,76204.6539490241,1,2,0.0,620.0,792.850356825533,841.7760128748391,881.5203829709737,0.2787908981056984,0.06170856281782844,0.04721489979311643
8552,3205,1,76204.6539490241,1,1,0.0,430.0,463.82419739071213,443.8720596210744,416.47491699518173,0.07866092416444681,-0.04301659525716941,-0.06172306193203765
8553,3205,1,76204.6539490241,0,2,0.0,450.0,600.2844998332339,596.8421454563728,593.3175100778623,0.33396555518496424,-0.00573453816951365,-0.005905473340552117
8554,3205,1,76204.6539490241,1,2,0.0,575.0,622.0454174623165,627.3159861197416,640.9362123380215,0.08181811732576791,0.008472964367982628,0.021711906789635117
8555,3205,1,76204.6539490241,0,1,0.0,390.0,434.4800972494056,445.60192773373603,453.76463673749384,0.11405153140873235,0.02559802061070274,0.018318387995474153
