,Postcode,Baths,Population,Count_School,Count_Station,Bedrooms,Pred_2023,Pred_2024,Pred_2025,Weekly Rental Price,rate_2023,rate_2024,rate_2025
86,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,430.0,3.235041276798692,0.0,0.0
87,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,430.0,3.235041276798692,0.0,0.0
88,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,430.0,3.235041276798692,0.0,0.0
89,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,430.0,3.235041276798692,0.0,0.0
90,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
91,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
92,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
93,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
94,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,420.0,3.3358755929129464,0.0,0.0
95,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,410.0,3.441628656154726,0.0,0.0
96,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,410.0,3.441628656154726,0.0,0.0
97,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,410.0,3.441628656154726,0.0,0.0
98,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,410.0,3.441628656154726,0.0,0.0
99,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,410.0,3.441628656154726,0.0,0.0
100,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
101,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
102,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
103,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
104,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
105,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
106,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,950.0,0.916913420024671,0.0,0.0
