,Postcode,Centroid,School_Name,Address,Location,Distance,Duration
1532,3496,-34.287804 142.144177,St Joseph's School,17 Fitzroy Avenue,-34.30235 142.18796,5.4 km,6 mins
1535,3498,-34.238385 142.172516,Irymple Secondary College,975 - 1011  Karadoc Ave,-34.23233 142.1647,1.3 km,2 mins
1544,3500,-34.1931 142.154161,St Joseph's College Mildura,154 Twelfth Street,-34.18872 142.15346,0.8 km,2 mins
1548,3501,-34.243279 142.100896,Nichols Point Primary School,110 Koorlong Avenue,-34.2088 142.20464,13.6 km,15 mins
1551,3505,-34.180532 142.004192,The Lake Primary School,225 Seventeenth Street,-34.20592 142.09314,10.4 km,9 mins
1554,3509,-35.155031 141.680385,Underbool Primary School,67 Cotter Street,-35.17057 141.81405,15.5 km,12 mins
1555,3512,-35.39199 141.121226,Murrayville Community College,20 Francis Street,-35.26557 141.17734,22.4 km,24 mins
1556,3515,-36.729444 144.062915,Marong Primary School,2 Leslie Street,-36.73568 144.13537,8.3 km,8 mins
1557,3516,-36.607616 144.041722,Bridgewater Primary School,34 - 44 Eldon Street,-36.6031 143.94592,9.2 km,7 mins
1558,3517,-36.483116 143.886832,Inglewood Primary School,77 Sullivan Street,-36.57394 143.87045,14.4 km,15 mins
1560,3518,-36.474937 143.586215,Wedderburn College,15-29 Hospital Street,-36.41702 143.61877,9.0 km,9 mins
1561,3521,-37.090071 144.912693,Pyalong Primary School,10-14 Bourke Street,-37.11724 144.85709,9.9 km,11 mins
1562,3522,-37.050037 144.747197,Tooborac Primary School,5185 Northern Highway,-37.03978 144.79814,6.9 km,11 mins
1564,3523,-36.837461 144.768359,Holy Rosary School,18 Pohlman Street,-36.91768 144.70111,23.7 km,23 mins
1566,3525,-36.2835 143.364316,St Joseph's School,Watson Street,-36.27177 143.35105,2.5 km,6 mins
1567,3527,-36.07096 143.241334,Wycheproof P-12 College,7-21 McKenzie Crescent,-36.0757 143.2291,1.7 km,3 mins
1568,3529,-35.824259 143.232677,Nullawil Primary School,Church Street,-35.85273 143.17912,10.0 km,9 mins
1569,3537,-36.079335 143.744455,Boort District P-12 School,9 - 27 Malone Street,-36.11022 143.72695,4.7 km,5 mins
1570,3544,-35.51717216 143.1754083,Ultima Primary School,Cnr Cameron & O'Connor Street,-35.47623 143.26617,11.7 km,11 mins
1571,3546,-35.060163 142.850456,Manangatang P-12 College,4105 Mallee Highway,-35.05623 142.88488,4.0 km,5 mins
1573,3549,-34.766049 142.820973,St Mary's School,12 Watkin Street,-34.58471 142.77851,24.0 km,19 mins
1587,3550,-36.764269 144.285267,St Joseph's School,Gladstone Street,-36.76942 144.27835,0.9 km,2 mins
1602,3551,-36.78137 144.457937,Eppalock Primary School,149 Patons Road,-36.84177 144.38773,11.7 km,9 mins
1610,3555,-36.777226 144.245239,Golden Square Primary School,19 - 31  Maple Street,-36.7706 144.2573,1.6 km,3 mins
1614,3556,-36.656422 144.178282,Eaglehawk Primary School,Church St,-36.72058 144.25426,11.4 km,11 mins
1618,3557,-36.63511 144.576787,Goornong Primary School,26 Grant Street,-36.617 144.50468,7.7 km,10 mins
1619,3558,-36.51553 144.638363,Elmore Primary School,36 Michie Street,-36.4972 144.60891,6.0 km,7 mins
1621,3559,-36.570077 144.805307,Colbinabbin Primary School,56 Mitchell Street,-36.58988 144.80166,2.8 km,3 mins
1622,3561,-36.321109 144.709543,Rochester Primary School,2 George Street,-36.3546 144.698,10.3 km,13 mins
1626,3563,-36.256251 144.515589,Lockington Consolidated School,20 Burns Street,-36.26577 144.53664,3.8 km,6 mins
1632,3564,-36.18096611 144.6014151,St Mary's School,15-33 Bridlington Ave,-36.13426 144.72583,19.0 km,18 mins
1635,3566,-35.945748 144.383334,Gunbower Primary School,School Road,-35.95463 144.37232,2.8 km,4 mins
1636,3567,-35.931669 144.262942,Leitchville Primary School,2-4 Hawken Street,-35.90955 144.30209,5.2 km,4 mins
1637,3568,-35.809462 144.184089,Cohuna Consolidated School,Mead St,-35.80632 144.21342,5.3 km,6 mins
1640,3570,-36.515303 144.28053,Raywood Primary School,18-22 Sandhurst Street,-36.53947 144.2048,7.6 km,6 mins
1641,3571,-36.36819 144.206865,East Loddon P-12 College,793 Dingee Road,-36.37222 144.14145,6.5 km,6 mins
1643,3575,-36.055725 144.159028,St Patrick's School,5 Victoria Street,-36.05485 144.11184,4.6 km,4 mins
1649,3579,-35.767974 143.769445,Kerang Christian College,98 Wyndham Street,-35.73042 143.91342,15.6 km,12 mins
1650,3580,-35.639761 144.094672,Koondrook Primary School,9 Punt Road,-35.63487 144.12987,4.0 km,5 mins
1651,3581,-35.628333 143.78521,Lake Charm Primary School,1939 Murray Valley Highway,-35.60664 143.80023,4.3 km,5 mins
1652,3584,-35.431026 143.637617,Lake Boga Primary School,8 Williams Street,-35.46451 143.63207,4.6 km,6 mins
1653,3585,-35.348388 143.336906,Swan Hill Primary School,123 Gray Street,-35.34691 143.54325,25.8 km,19 mins
1660,3588,-35.29429 143.470325,Woorinen District Primary School,49 Palmer Street,-35.29041 143.45374,1.8 km,2 mins
1661,3590,-35.235708 143.493525,Beverford District Primary School,20 School Road,-35.23248 143.47891,3.8 km,5 mins
1662,3595,-35.202752 143.351682,Nyah District Primary School,53-59 Monash Avenue,-35.18608 143.34319,3.2 km,5 mins
1663,3608,-36.740713 145.095753,Nagambie Primary School,31 Goulburn Street,-36.78759 145.15723,10.8 km,13 mins
1665,3610,-36.577628 145.229349,Murchison Primary School,8 - 10 Impey Street,-36.61718 145.21429,4.5 km,5 mins
1667,3612,-36.575936 145.019312,Rushworth P-12 College,45 Heily Street,-36.58332 145.0144,1.6 km,3 mins
1669,3614,-36.479193 145.30098,Toolamba Primary School,69-77 Wren Street,-36.49052 145.34418,5.6 km,6 mins
1671,3616,-36.464118 145.145217,Harston Primary School,155 Harston Road,-36.46986 145.14175,1.3 km,2 mins
1673,3618,-36.37708 145.125014,Merrigum Primary School,Judd Avenue,-36.36932 145.12966,1.8 km,4 mins
1676,3620,-36.284584 145.082735,St Augustine's College,Church Street,-36.30955 145.04471,6.2 km,6 mins
1677,3621,-36.206055 144.961183,Tongala Primary School,28 Miller Street,-36.25215 144.95652,6.3 km,6 mins
1679,3623,-36.461381 144.976813,Stanhope Primary School,48 Midland Highway,-36.4481 144.98802,3.6 km,7 mins
1680,3624,-36.410186 144.965763,Girgarre Primary School,528 Winter Road,-36.39811 144.97376,2.9 km,4 mins
1682,3629,-36.287306 145.260653,Ardmona Primary School,580 Turnbull Road,-36.38546 145.31307,14.5 km,12 mins
1699,3630,-36.380853 145.403176,Shepparton ACE Secondary College,123-129 Maude,-36.37766 145.4017,0.6 km,2 mins
1701,3631,-36.428694 145.526693,Shepparton East Primary School,15 School Road,-36.39993 145.47925,10.6 km,11 mins
1708,3633,-36.307936 145.46296,Congupna Primary School,3580 Katamatite Road,-36.29987 145.43428,3.8 km,3 mins
1711,3634,-36.224186 145.440315,Katandra West Primary School,17-27 Bankin Street,-36.22547 145.56071,16.0 km,14 mins
1712,3635,-36.142596 145.30827,Wunghnu Primary School,Brunton Street,-36.15066 145.4306,12.2 km,12 mins
1714,3636,-36.093878 145.479471,Numurkah Secondary College,104 Tocumwal Road,-36.07995 145.44627,6.4 km,7 mins
1716,3637,-36.050686 145.329026,Waaia Yalca South Primary School,1 Cowan Street,-36.05147 145.32862,83 m,1 min
1718,3638,-36.03202 145.246572,Nathalia Secondary College,41 Chapel Street,-36.0599 145.20844,6.4 km,9 mins
1721,3640,-36.00978 145.486015,Katunga Primary School,24 CARTER STREET,-35.99856 145.45561,4.1 km,5 mins
1722,3641,-35.89718 145.428306,Strathmerton Primary School,Findlay Street,-35.92402 145.47884,7.6 km,8 mins
1726,3644,-35.945353 145.632682,St Joseph's School,1-25 Broadway Street,-35.91707 145.65375,4.9 km,5 mins
1728,3646,-36.247446 145.704042,Dookie Primary School,Baldock Street,-36.33107 145.68279,11.8 km,13 mins
1729,3647,-36.385331 145.704473,Currawa Primary School,2 Ridge Road,-36.38475 145.70379,0.2 km,1 min
1730,3649,-36.082665 145.688671,Katamatite Primary School,4 - 6 Currajong Avenue,-36.07735 145.6853,0.7 km,2 mins
1731,3658,-37.241401 145.111854,Broadford Primary School,17-23 Powlett Street,-37.20257 145.0463,9.1 km,11 mins
1733,3659,-37.110344 145.07088,Tallarook Primary School,52 Main Road,-37.09676 145.10067,5.5 km,6 mins
1734,3660,-37.035925 145.257867,Seymour College,29-47 Stewart Street,-37.02984 145.14112,14.0 km,16 mins
1736,3662,-36.9356483 144.9486555,Puckapunyal Primary School,Alamein Road,-37.00263 145.03351,21.4 km,26 mins
1737,3664,-36.927251 145.298203,Avenel Primary School,40 Anderson Street,-36.90137 145.23472,13.3 km,16 mins
1738,3665,-36.844091 145.357627,Longwood Primary School,1-21 Hurley Street,-36.80793 145.42206,13.1 km,13 mins
1739,3666,-36.786777 145.565512,Euroa Primary School,Clifton Street,-36.75596 145.57208,3.6 km,3 mins
1742,3669,-36.625333 145.708668,Peranbin Primary College,Tulip Street,-36.63424 145.71697,1.6 km,4 mins
1745,3672,-36.554936 145.977761,FCJ College,36 Arundel Street,-36.55277 145.97539,0.4 km,1 min
1749,3673,-36.669929 146.062514,Winton Primary School,Fox Street,-36.51633 146.08134,26.3 km,21 mins
1750,3675,-36.565078 146.266835,Glenrowan Primary School,40 Beaconsfield Parade,-36.46019 146.22234,17.0 km,14 mins
1752,3676,-36.341245 146.338612,"Borinya, Wangaratta Community Partnership",30 College Street,-36.33783 146.30898,5.1 km,7 mins
1754,3677,-36.358017 146.330564,Wangaratta Primary School,19 Chisholm Street,-36.35528 146.32942,0.3 km,1 min
1765,3678,-36.68892 146.482439,Oxley Primary School,1050 Wangaratta-Whitfield Road,-36.44156 146.36064,34.5 km,26 mins
1769,3682,-36.174271 146.428656,Springhurst Primary School,121 Anzac Road,-36.18467 146.4681,4.1 km,4 mins
1771,3683,-36.180787 146.604622,St Joseph's School,142 North Road,-36.14598 146.60706,4.5 km,5 mins
1772,3685,-36.056449 146.470638,Rutherglen Primary School,44 Murray Street,-36.05621 146.46061,0.9 km,2 mins
1775,3687,-36.018771 146.415927,Wahgunyah Primary School,Elizabeth Street,-36.01365 146.39792,1.9 km,2 mins
1777,3688,-36.119195 146.717193,Barnawartha Primary School,11-17 Stanely Street,-36.10131 146.67589,5.5 km,7 mins
1781,3690,-36.135717 146.864361,Melrose Primary School,25 Silva Drive,-36.1305 146.86142,0.8 km,1 min
1792,3691,-36.027154 147.880991,Bethanga Primary School,5 Beardmore Street,-36.12064 147.09576,109 km,1 hour 25 mins
1798,3694,-36.150678 146.919493,Bandiana Primary School,44 Leumeah Road,-36.15296 146.92714,0.8 km,2 mins
1799,3695,-36.304285 147.123674,Upper Sandy Creek Primary School,1037 Sandy Creek Road,-36.35518 147.1129,9.5 km,11 mins
1800,3697,-36.68753 147.17925,Tawonga Primary School,Kiewa Valley Highway,-36.6914 147.14325,5.3 km,6 mins
1802,3699,-36.844307 147.299257,Falls Creek Primary School,15 Slalom Street,-36.86431 147.27976,10.8 km,19 mins
1806,3700,-36.335898 147.35527,Tallangatta Secondary College,145 Towong Street,-36.22044 147.17267,36.5 km,50 mins
1808,3701,-36.638769 147.476819,Mitta Mitta Primary School,27 Giltrap Road,-36.53341 147.37948,20.8 km,28 mins
1810,3707,-36.586316 148.037958,Corryong College,27-45 Towong Road,-36.19294 147.91076,91.8 km,2 hours 0 mins
1812,3709,-36.035908 147.667373,Walwa Primary School,4 Main Street,-35.96423 147.73215,11.3 km,9 mins
1813,3711,-37.41047 145.682161,Buxton Primary School,2208 Maroondah Highway,-37.4214 145.70905,4.1 km,6 mins
1814,3712,-37.3209 145.839057,Rubicon Outdoor School,264 Rubicon Road,-37.29493 145.82134,7.4 km,11 mins
1815,3713,-37.241527 145.90623,Eildon Primary School,45 High Street,-37.23397 145.90676,1.7 km,3 mins
1817,3714,-37.210538 145.687889,Alexandra Secondary College,Downey Street,-37.19449 145.70148,3.9 km,5 mins
1822,3717,-37.286611 145.435776,Sacred Heart School,5 The Parade,-37.21455 145.42461,11.6 km,14 mins
1825,3722,-37.202634 146.253268,St Mary's School,39 Malcolm Street,-37.05835 146.08901,35.3 km,54 mins
1829,3723,-36.894465 146.256507,Merrijig Primary School,1820 Mount Buller Road,-37.1028 146.25688,39.9 km,32 mins
1830,3726,-36.332254 145.960209,Devenish Primary School,76 Main Road,-36.32654 145.89434,7.8 km,6 mins
