,Postcode,Centroid,School_Name,Address,Location,Distance,Duration
1,3000,-37.817403 144.956776,Ozford College,Levels 7 & 9,-37.81289 144.95442,1.1 km,5 mins
4,3003,-37.810871 144.949592,Simonds Catholic College,273 Victoria Street,-37.80597 144.95288,1.0 km,4 mins
6,3004,-37.844246 144.970161,MacRobertson Girls High School,350-370 Kings Way,-37.83589 144.97186,1.4 km,3 mins
9,3006,-37.82528675 144.9520744,South Melbourne Primary School,129-161 Ferrars Street,-37.82935 144.9535,1.4 km,5 mins
11,3008,-37.814719 144.948039,Docklands Primary School,17 Little Docklands Drive,-37.81271 144.94055,0.9 km,3 mins
16,3011,-37.807101 144.907953,St Monica's School,2 Wingfield Street,-37.80116 144.90684,1.1 km,3 mins
19,3012,-37.807135 144.861162,Corpus Christi School,380 Geelong Road,-37.80853 144.87292,1.5 km,3 mins
21,3013,-37.814183 144.888686,Yarraville West Primary School,30 Powell Street,-37.81475 144.88539,0.7 km,3 mins
29,3015,-37.838242 144.880556,Sacred Heart School,20 Newcastle St,-37.84003 144.8814,0.3 km,1 min
35,3016,-37.863743 144.888461,Bayside P-12 College,29-69 Kororoit Creek Road,-37.8577 144.88521,1.0 km,2 mins
42,3018,-37.86172 144.812736,Mount St Joseph Girls' College,133 Maidstone Street,-37.8639 144.81167,0.3 km,1 min
48,3019,-37.784683 144.854014,Caroline Chisholm Catholic College,204 Churchill Avenue,-37.78586 144.8501,1.0 km,3 mins
50,3020,-37.777204 144.829945,Albion Primary School,61-81 Adelaide Street,-37.77808 144.81975,1.1 km,2 mins
67,3021,-37.743361 144.796693,St Albans Primary School,39 West Esplanade,-37.73875 144.79577,0.6 km,2 mins
84,3022,-37.795937 144.793961,Ardeer Primary School,Suspension Street,-37.78107 144.80049,3.1 km,7 mins
100,3023,-37.78272 144.770641,Southern Cross Grammar,2-20 Lancefield Drive,-37.71396 144.7396,10.1 km,15 mins
101,3024,-37.75045631 144.649936,Iramoo Primary School,261 - 269 Mcgrath Road,-37.89587 144.62857,20.7 km,26 mins
107,3025,-37.835562 144.839704,Emmanuel College,423 Blackshaws Road,-37.83162 144.84239,0.7 km,1 min
110,3026,-37.91624 144.64209,St Lawrence Catholic Primary School,93A Capesthorne Drive,-37.79068 144.76052,28.1 km,27 mins
111,3028,-37.875066 144.777165,Altona Meadows Primary School,78-88 Alma Avenue,-37.86869 144.77973,0.9 km,2 mins
126,3029,-37.837165 144.705831,Truganina P-9 College,55 Clearwood Drive,-37.83877 144.71909,1.6 km,4 mins
149,3030,-37.91624 144.64209,Riverwalk Primary School,56 Timbarra Avenue,-37.92103 144.63933,1.3 km,3 mins
171,3031,-37.79119 144.923403,Kensington Primary School,62-74 McCracken Street,-37.79267 144.92762,0.9 km,4 mins
181,3032,-37.774486 144.897221,Maribyrnong Secondary College,Gordon Strret,-37.77952 144.88824,1.5 km,4 mins
187,3033,-37.74107 144.857638,St Peter's School,2A Parkside Avenue,-37.74424 144.85942,0.7 km,2 mins
189,3034,-37.761235 144.86194,St Martin de Porres School,158 Military Road,-37.75847 144.86162,0.9 km,3 mins
193,3036,-37.705324 144.82246,Overnewton Anglican Community College,2-50 Overnewton Road,-37.70656 144.82318,0.4 km,2 mins
195,3037,-37.715579 144.780474,Mackellar Primary School,29-35 Goldsmith Avenue,-37.71723 144.77753,0.4 km,1 min
207,3038,-37.700454 144.766873,Taylors Lakes Secondary College,1-39 Parmelia Drive,-37.70741 144.7944,4.3 km,8 mins
210,3039,-37.766184 144.922995,Moonee Ponds Primary School,87 Wilson Street,-37.76334 144.93299,1.3 km,4 mins
219,3040,-37.751845 144.902556,Resurrection House,6 Aberfeldie Street,-37.75665 144.9052,0.8 km,2 mins
222,3041,-37.72674618 144.9011039,Essendon North Primary School,112 Keilor Road,-37.74152 144.90319,5.1 km,11 mins
228,3042,-37.727529 144.866305,Niddrie Primary School,25 Watt Street,-37.73085 144.87843,1.5 km,3 mins
236,3043,-37.691916 144.888368,School of the Good Shepherd,88 South Circular Road,-37.69303 144.88946,0.3 km,2 mins
242,3044,-37.731138 144.936356,St Oliver Plunkett's School,1-39 Landells Road,-37.73089 144.94186,0.6 km,2 mins
248,3046,-37.706578 144.927968,Glenroy Central Primary School,10 Logan Street,-37.70428 144.92504,0.6 km,2 mins
254,3047,-37.681105 144.930247,Broadmeadows Primary School,62-70 Blair Street,-37.68019 144.92849,0.6 km,1 min
268,3048,-37.653917 144.923609,Bethal Primary School,26-52 Eldorado Crescent,-37.6592 144.91782,1.2 km,3 mins
272,3049,-37.673182 144.888492,Westmeadows Primary School,34-46 Riddell Street,-37.67565 144.8957,1.3 km,3 mins
273,3051,-37.8006 144.943559,North Melbourne Primary School,210 Errol Street,-37.79873 144.95064,1.1 km,4 mins
278,3052,-37.788996 144.948903,Royal Childrens Hospital Education Institute,"Suite 1.4, Level 1",-37.79435 144.95097,1.6 km,3 mins
281,3053,-37.803569 144.966112,Carlton Gardens Primary School,215 Rathdowne Street,-37.80205 144.96951,0.5 km,2 mins
285,3054,-37.786971 144.96724,Princes Hill Secondary College,47 Arnold Street,-37.78348 144.96503,0.9 km,4 mins
289,3055,-37.763584 144.942222,St Joseph's School,185 Hope Street,-37.76229 144.94298,0.2 km,2 mins
290,3056,-37.766292 144.960108,Sydney Road Community School,350 Sydney Road,-37.76969 144.96188,0.6 km,3 mins
294,3057,-37.770012 144.97728,Brunswick East Primary School,195a Stewart Street,-37.76527 144.98,0.9 km,3 mins
296,3058,-37.739901 144.964524,Coburg Primary School,92 Bell Street,-37.7413 144.96821,0.5 km,2 mins
307,3059,-37.639887 144.879626,Greenvale Primary School,12-24 Bradford Avenue,-37.63983 144.88618,1.9 km,5 mins
318,3060,-37.707326 144.967874,Darul Ulum College of Victoria,17 Baird Street,-37.70518 144.97169,0.5 km,2 mins
319,3061,-37.666265 144.956763,Campbellfield Heights Primary School,1-13 Laurel Crescent,-37.67433 144.96587,1.8 km,3 mins
340,3064,-37.546522 144.942199,Oscar Romero Catholic Primary School,1 MacKillop Street,-37.58197 144.8961,10.9 km,15 mins
343,3065,-37.802608 144.977795,Academy of Mary Immaculate,88 Nicholson Street,-37.80371 144.97441,0.5 km,2 mins
346,3066,-37.804846 144.986906,Collingwood English Language School,19 Cambridge Street,-37.80784 144.9848,0.5 km,2 mins
349,3067,-37.803515 144.998203,Sophia Mundi Steiner School,1 St Heliers Street,-37.80366 145.00522,0.9 km,5 mins
355,3068,-37.790974 144.98622,St John's School,77 Queens Parade,-37.79034 144.98822,0.7 km,2 mins
362,3070,-37.774064 144.999745,St Joseph's School,39 James Street,-37.77462 144.99672,0.4 km,2 mins
364,3071,-37.759426 145.007006,Wales Street Primary School,Wales Street,-37.76151 145.00883,0.4 km,1 min
380,3072,-37.74247 145.005702,Preston High School,2-16 Cooma Street,-37.74169 145.0064,0.1 km,1 min
385,3073,-37.712474 145.005955,Reservoir Primary School,Duffy Street,-37.71142 145.00677,0.5 km,1 min
399,3074,-37.684684 145.006644,Thomastown Primary School,10 Spring Street,-37.68227 145.0115,1.0 km,2 mins
410,3075,-37.66607 145.002679,Lalor Gardens Primary School,134 Kingsway Drive,-37.66369 145.00135,0.7 km,1 min
418,3076,-37.643598 145.022137,Epping Primary School,805 High Street,-37.64485 145.02559,0.5 km,1 min
425,3078,-37.778298 145.025853,Fairfield Primary School,Langridge Street,-37.77799 145.0204,0.7 km,3 mins
431,3079,-37.772675 145.048573,Ivanhoe Grammar School,The Ridgeway,-37.77252 145.04448,0.5 km,1 min
436,3081,-37.743008 145.046401,St Pius X School,431 Waterdale Road,-37.74692 145.04629,0.5 km,1 min
441,3082,-37.664858 145.065658,Mill Park Secondary College,9 - 25 Moorhead Drive,-37.66416 145.06341,0.4 km,1 min
450,3083,-37.701346 145.056223,St Damian's School,5 Settlement Road,-37.69849 145.05722,1.5 km,4 mins
455,3084,-37.744406 145.082685,Banyule Primary School,Banyule Road,-37.74361 145.07794,1.0 km,2 mins
463,3085,-37.724398 145.06988,Macleod College,Carwarp Street,-37.72475 145.07222,0.5 km,2 mins
465,3087,-37.711787 145.082426,Watsonia Primary School,Nell Street West,-37.70703 145.08692,0.9 km,3 mins
468,3088,-37.700175 145.108339,Greensborough Primary School,130 Grimshaw Street,-37.70357 145.1005,1.6 km,5 mins
479,3089,-37.667713 145.150369,Diamond Creek Primary School,17 Clyde Street,-37.67185 145.15165,0.7 km,2 mins
483,3091,-37.637478 145.136688,Yarrambat Primary School,552 Yan Yean Road,-37.64124 145.1331,0.8 km,2 mins
484,3093,-37.73919 145.115208,Lower Plenty Primary School,126-144 Main Road,-37.72617 145.1155,2.1 km,3 mins
485,3094,-37.719759 145.124727,Montmorency Primary School,60a Rattray Road,-37.71765 145.1216,0.4 km,1 min
497,3095,-37.713299 145.158579,Our Lady Help of Christians School,1-13 Henry Street,-37.71612 145.14791,1.3 km,3 mins
500,3096,-37.670851 145.185826,Wattle Glen Primary School,16-24 Reynolds Road,-37.66884 145.18204,1.0 km,2 mins
501,3097,-37.695254 145.224204,Kangaroo Ground Primary School,Cr Graham&Eltham-Yarra Glen Rd,-37.69174 145.21466,1.4 km,3 mins
504,3099,-37.592101 145.192854,Strathewen Primary School,5 School Ridge Road,-37.54758 145.27009,10.7 km,14 mins
511,3101,-37.807397 145.036575,Sacred Heart School,116 Cotham Road,-37.80817 145.03744,0.2 km,1 min
520,3102,-37.793805 145.05219,St Anne's School,7-19 Beresford Street,-37.79538 145.04981,0.5 km,1 min
521,3103,-37.811738 145.074116,Balwyn Primary School,86B Balwyn Road,-37.81394 145.08138,0.8 km,2 mins
526,3104,-37.793695 145.081714,Balwyn North Primary School,Buchanan Avenue,-37.7967 145.07704,0.7 km,2 mins
534,3105,-37.772477 145.084806,Marcellin College,160 Bulleen Road,-37.77478 145.08268,1.3 km,5 mins
536,3106,-37.758335 145.142675,Templestowe Park Primary School,399-409 Church Road,-37.75627 145.14326,0.3 km,1 min
539,3107,-37.765225 145.110677,Templestowe Valley Primary School,15 Birchwood Avenue,-37.76061 145.10938,0.8 km,2 mins
543,3108,-37.786429 145.125797,Doncaster Primary School,2 - 12 Council Street,-37.7868 145.12967,0.5 km,1 min
548,3109,-37.784786 145.161649,Donburn Primary School,Colchester Drive,-37.78746 145.16552,0.7 km,2 mins
554,3111,-37.794054 145.186334,Donvale Primary School,Elata Street,-37.80041 145.17378,1.8 km,4 mins
559,3113,-37.752123 145.204689,Andersons Creek Primary School,36-42 Drysdale Road,-37.74822 145.20768,1.0 km,3 mins
561,3114,-37.778595 145.212599,Park Orchards Primary School,1-3 Bowmore Avenue,-37.77952 145.21592,0.7 km,1 min
563,3115,-37.736734 145.267586,Wonga Park Primary School,Dudley Road,-37.73064 145.274,1.1 km,3 mins
564,3116,-37.737629 145.313086,Chirnside Park Primary School,66 Kimberley Drive,-37.75007 145.31134,3.1 km,5 mins
574,3121,-37.823303 145.001788,Ignatius Learning Centre,326 Church Street,-37.82191 144.99848,0.7 km,3 mins
576,3122,-37.822725 145.030602,Glenferrie Primary School,78 - 98 Manningtree Road,-37.82405 145.03397,0.4 km,1 min
587,3123,-37.829752 145.049415,SEDA College (Victoria),"Level 2, 415 Riversdale Road",-37.83071 145.05401,0.6 km,2 mins
588,3124,-37.840867 145.068191,Camberwell Primary School,290 Camberwell Road,-37.83268 145.05805,1.3 km,3 mins
592,3125,-37.851305 145.101,Wattle Park Primary School,225 Warrigal Road,-37.84264 145.09737,1.4 km,3 mins
597,3126,-37.827203 145.075748,Camberwell High School,Prospect Hill Road,-37.83015 145.07282,0.5 km,1 min
602,3127,-37.825173 145.097236,Surrey Hills Primary School,2 Beatrice Avenue,-37.82553 145.1009,0.5 km,2 mins
611,3128,-37.828866 145.122393,Kingswood College,355 Station Street,-37.83278 145.11863,0.8 km,3 mins
612,3129,-37.806965 145.125084,Box Hill North Primary School,Elizabeth Street,-37.80079 145.12331,1.2 km,3 mins
617,3130,-37.81805 145.149653,Blackburn Primary School,185 Surrey Road,-37.81657 145.1567,0.8 km,3 mins
630,3131,-37.817798 145.174489,Nunawading Christian College-Primary,Laughlin Ave,-37.82192 145.17005,1.1 km,3 mins
636,3132,-37.819222 145.196686,St John's School,490 Whitehorse Road,-37.81744 145.1904,0.8 km,3 mins
641,3133,-37.848786 145.192303,Vermont Secondary College,27 - 63 Morack Road,-37.84412 145.1997,1.1 km,3 mins
652,3134,-37.823058 145.257929,Ringwood Secondary College,Bedford Road,-37.81661 145.23915,2.5 km,4 mins
658,3135,-37.819594 145.248209,Eastwood Primary School,49a Alexandra Road,-37.81724 145.25295,0.7 km,2 mins
672,3136,-37.779876 145.282396,Croydon Community School,61-77 Croydon Road,-37.78935 145.28126,1.5 km,4 mins
680,3137,-37.819364 145.313346,Ghilgai School,295 Liverpool Road,-37.82914 145.31893,1.7 km,4 mins
688,3138,-37.78391 145.322794,Yarra Hills Secondary College,16 Reay Road,-37.78934 145.31618,1.3 km,3 mins
696,3139,-37.814506 145.532666,Seville Primary School,639 Warburton Highway,-37.77389 145.46441,11.0 km,12 mins
705,3140,-37.759154 145.363185,Cire Community School | Cire Training,211 Main Street,-37.7574 145.35054,1.4 km,3 mins
707,3141,-37.840679 144.991264,South Yarra Primary School,601 Punt Road,-37.84135 144.98562,0.7 km,3 mins
713,3142,-37.84411 145.017732,Toorak Primary School,Canterbury Road,-37.84508 145.00991,1.0 km,3 mins
718,3143,-37.858918 145.019393,Lauriston Girls' School,38 Huntingtower Road,-37.85232 145.02509,1.1 km,3 mins
720,3144,-37.857443 145.034127,Malvern Central School,Spring Road,-37.85601 145.0344,0.2 km,1 min
727,3145,-37.873557 145.049328,St Mary's School,91 Manning Road,-37.87302 145.05292,0.4 km,1 min
731,3146,-37.857116 145.057833,Korowa Anglican Girls' School,10 - 16 Ranfurlie Crescent,-37.86145 145.05464,0.9 km,4 mins
740,3147,-37.867864 145.092946,St Michael's School,268 High Street,-37.86413 145.08248,1.2 km,3 mins
742,3148,-37.882562 145.090149,Salesian College Chadstone,10 Bosco Street,-37.88273 145.10026,1.3 km,3 mins
744,3149,-37.880748 145.128118,Mount Waverley Primary School,37-45 Park Lane,-37.88127 145.12411,0.5 km,1 min
758,3150,-37.914383 145.168834,Brandon Park Primary School,1-5 Ninevah Crescent,-37.91432 145.17325,0.7 km,2 mins
775,3151,-37.85523 145.151119,Burwood East Primary School,Cnr Blackburn And Highbury Rds,-37.85973 145.15181,0.9 km,3 mins
789,3152,-37.864951 145.221695,The Knox School,220 Burwood Highway,-37.86547 145.2192,0.6 km,1 min
797,3153,-37.845116 145.270141,Our Lady of Lourdes School,23 Orange Grove,-37.84898 145.26576,0.9 km,2 mins
799,3154,-37.856009 145.31784,St Bernadette's Catholic Primary School,1264 Mountain Highway,-37.8539 145.31084,0.7 km,1 min
801,3155,-37.861799 145.284418,Boronia West Primary School,25 Tormore Road,-37.85856 145.27848,1.0 km,2 mins
810,3156,-37.917932 145.292895,Fairhills Primary School,Manuka Drive,-37.8696 145.2648,10.5 km,15 mins
819,3158,-37.910077 145.324468,Upwey South Primary School,91 Morris Road,-37.91314 145.32684,0.7 km,1 min
822,3159,-37.921894 145.3892,Selby Primary School,2 Morley Street,-37.91143 145.36752,2.8 km,4 mins
824,3160,-37.935097 145.350821,Belgrave South Primary School,175 Colby Drive,-37.9312 145.35792,1.3 km,3 mins
828,3161,-37.873733 145.019929,Caulfield Junior College,186 Balaclava Road,-37.87211 145.02156,0.3 km,1 min
833,3162,-37.892139 145.023394,Japanese School of Melbourne,6 Ellington Street,-37.89244 145.0194,0.4 km,2 mins
835,3163,-37.896497 145.057237,Carnegie Primary School,51 Truganini Road,-37.89074 145.0545,0.8 km,2 mins
844,3165,-37.922369 145.059426,Bentleigh Secondary College,Vivien St,-37.92736 145.0598,0.7 km,2 mins
850,3166,-37.902805 145.089719,Sacred Heart Girls' College,113 Warrigal Road,-37.90216 145.08608,0.3 km,1 min
855,3167,-37.923345 145.087614,South Oakleigh Secondary College,Bakers Road,-37.92232 145.08977,0.7 km,2 mins
856,3168,-37.91342 145.12665,Clayton North Primary School,1714 Dandenong Road,-37.91194 145.12267,0.4 km,1 min
860,3169,-37.945149 145.115271,Clayton South Primary School,539 Clayton Road,-37.94048 145.11644,0.5 km,1 min
867,3170,-37.920945 145.167859,Albany Rise Primary School,74-82 Albany Drive,-37.92812 145.17289,1.8 km,3 mins
872,3171,-37.944608 145.156783,Springvale Park Special Developmental School,13-15 Sandown Road,-37.94936 145.15431,1.0 km,3 mins
878,3172,-37.975981 145.13465,Dingley Primary School,111-115 Centre Dandenong Road,-37.9826 145.1325,0.9 km,2 mins
886,3173,-38.006771 145.164863,Keysborough Gardens Primary School,10 Homeleigh Road,-38.00951 145.16132,0.8 km,2 mins
899,3174,-37.966218 145.17877,Noble Park Secondary College,3 Callaghan Street,-37.97021 145.18237,0.8 km,2 mins
906,3175,-38.016114 145.208504,Emerson School,1430 Heatherton Road,-37.96986 145.2081,10.0 km,15 mins
918,3177,-37.990985 145.237462,Holy Family School,100 Power Road,-37.9905 145.23863,0.5 km,1 min
924,3178,-37.924431 145.241589,St Simon's School,2 Taylors Lane,-37.92568 145.24533,0.7 km,2 mins
925,3179,-37.897137 145.222634,Scoresby Primary School,11 Ingrid Street,-37.89395 145.2275,0.9 km,2 mins
929,3180,-37.893263 145.246731,Carrington Primary School,Laura Road,-37.89148 145.24649,0.3 km,1 min
931,3181,-37.854683 144.995504,Windsor Primary School,12 Hornby Street,-37.8573 144.99569,0.3 km,1 min
935,3182,-37.865322 144.979478,St Kilda Park Primary School,68 Fitzroy Street,-37.85812 144.97779,1.1 km,5 mins
942,3183,-37.869072 144.999026,Yeshivah College,88 Hotham Street,-37.86812 145.00034,0.1 km,1 min
945,3184,-37.881414 144.984034,Elwood College,101 Glenhuntly Road,-37.88232 144.9852,0.2 km,1 min
950,3185,-37.891841 145.002571,Leibler Yavneh College,2 Nagle Avenue,-37.89287 145.00663,1.1 km,3 mins
959,3186,-37.915066 144.996329,Brighton Grammar School,90 Outer Crescent,-37.91111 144.99352,0.7 km,2 mins
961,3187,-37.925371 145.013593,Brighton Secondary College,120 Marriage Road,-37.92016 145.01912,1.1 km,2 mins
964,3188,-37.938889 145.007238,Hampton Primary School,528 Hampton Street,-37.93339 145.00348,1.1 km,3 mins
968,3189,-37.942021 145.047802,Moorabbin Primary School,61 Worthing Road,-37.94202 145.03959,1.0 km,3 mins
973,3190,-37.951394 145.038147,St Agnes' School,Peterson Street,-37.9461 145.03183,1.1 km,2 mins
975,3191,-37.956585 145.013472,Sandringham East Primary School,9 Holloway Road,-37.95667 145.02222,0.8 km,2 mins
983,3192,-37.965655 145.0623,Our Lady of the Assumption School,9 Centre Dandenong Road,-37.9655 145.05971,0.4 km,2 mins
987,3193,-37.978698 145.031561,Beaumaris Secondary College,117 - 136 Reserve Road,-37.9784 145.03408,0.6 km,2 mins
993,3194,-37.985059 145.067356,Kilbreda College,118 Mentone Parade,-37.98415 145.06571,0.2 km,1 min
1006,3195,-38.007024 145.104105,St Brigid's School,129 Albert Street,-38.00804 145.09178,1.5 km,2 mins
1010,3196,-38.046479 145.122762,Chelsea Primary School,34-44 Argyle Ave,-38.05489 145.12231,1.4 km,3 mins
1014,3197,-38.072748 145.134111,Carrum Primary School,2-6 Church Road,-38.07812 145.1267,1.3 km,3 mins
1016,3198,-38.103194 145.137811,Seaford Primary School,Mcrae Street,-38.10444 145.1305,1.1 km,2 mins
1036,3199,-38.162578 145.135961,Frankston High School,97 Foot Street,-38.16219 145.12895,1.1 km,2 mins
1043,3200,-38.126458 145.157574,Mahogany Rise Primary School,23 Jenkens Street,-38.12562 145.1574,0.4 km,1 min
1046,3201,-38.092874 145.177905,Banyan Fields Primary School,90 Cadles Road,-38.0946 145.18791,2.4 km,4 mins
1057,3204,-37.916956 145.036783,St Paul's School,122 Jasper Road,-37.92283 145.04147,1.1 km,4 mins
1061,3205,-37.831693 144.958176,Galilee Regional Catholic Primary School,301-319 Bank Street,-37.83616 144.95481,0.8 km,3 mins
1062,3206,-37.846534 144.95086,Albert Park Primary School,210 Bridport Street,-37.84188 144.95277,0.7 km,2 mins
1068,3207,-37.832179 144.918044,Port Melbourne Secondary College,477 Graham Street,-37.83201 144.93204,1.9 km,3 mins
1069,3211,-37.943586 144.498479,Little River Primary School,21 Flinders Street,-37.96501 144.50037,3.0 km,5 mins
1072,3212,-38.039958 144.422666,Lara Secondary College,34 Alkara Avenue,-38.01818 144.41157,4.8 km,7 mins
1074,3213,-37.9406 144.2894,Anakie Primary School,2125-2135 Ballan Road,-37.91267 144.25511,4.4 km,5 mins
1077,3214,-38.084781 144.352385,St Thomas Aquinas School,51 Plume Street,-38.09017 144.35882,1.6 km,4 mins
1086,3215,-38.111002 144.33452,Holy Family School,143-147 Separation Street,-38.1111 144.33833,0.5 km,1 min
1105,3216,-38.215906 144.334005,Freshwater Creek Steiner School,52 McIntyres Road,-38.26332 144.27974,10.1 km,12 mins
1107,3217,-38.23413976 144.3707843,Armstrong Creek School,100 Central Boulevard,-38.23261 144.36731,0.9 km,2 mins
1118,3218,-38.13028025 144.2894883,Clonard College,225 Church Street,-38.13008 144.33048,5.6 km,7 mins
1127,3219,-38.17277 144.389533,MacKillop Specialist School,25-33 Oxford Street,-38.17432 144.38711,0.6 km,1 min
1129,3220,-38.157038 144.34652,Chilwell Primary School,313a Pakington Street,-38.15511 144.34538,0.3 km,1 min
1142,3221,-38.181608 144.427419,Woodline Primary,405 Barrabool Road,-38.17178 144.28535,14.7 km,21 mins
1147,3222,-38.209921 144.572989,St Thomas Primary School,1-7 Peninsula Drive,-38.18801 144.55617,6.8 km,7 mins
1148,3223,-38.13622989 144.6217267,St Leonards Primary School,1341 Murradoc Road,-38.17184 144.71475,14.2 km,12 mins
1150,3224,-38.202905 144.462401,Leopold Primary School,1 Kensington Road,-38.18726 144.46437,3.7 km,6 mins
1152,3225,-38.271074 144.614191,Point Lonsdale Primary School,22 Bowen Road,-38.27443 144.62113,1.0 km,2 mins
1154,3226,-38.263811 144.523761,Ocean Grove Primary School,1 - 23 Draper Street,-38.26399 144.52185,0.8 km,2 mins
1157,3227,-38.263052 144.40814,Barwon Heads Primary School,Golf Links Road,-38.28119 144.48704,9.0 km,8 mins
1159,3228,-38.307545 144.299978,Torquay P-6 College,45-55 Grossmans Road,-38.32177 144.31231,2.7 km,5 mins
1164,3230,-38.409363 144.176397,Anglesea Primary School,85 Camp Road,-38.39678 144.19184,2.3 km,4 mins
1165,3231,-38.459435 144.106892,Aireys Inlet Primary School,Anderson Street,-38.45737 144.10997,0.6 km,2 mins
1166,3232,-38.544977 143.970167,Lorne P-12 College,15 Grove Road,-38.53918 143.97389,0.9 km,2 mins
1167,3233,-38.679417 143.671777,Apollo Bay P-12 College,20 Pengilley Avenue,-38.75352 143.66051,13.1 km,22 mins
1168,3235,-38.411964 143.924288,Deans Marsh Primary School,30 Deans Marsh-Lorne Road,-38.39988 143.88575,6.2 km,8 mins
1169,3236,-38.521903 143.712384,Forrest Primary School,10 Grant Street,-38.51629 143.71442,0.8 km,2 mins
1170,3238,-38.781787 143.429978,Lavers Hill K-12 College,Great Ocean Road,-38.68184 143.38305,15.7 km,14 mins
1171,3239,-38.564014 143.448102,Carlisle River Primary School,49 Moomowroong Road,-38.56393 143.39503,6.5 km,11 mins
1172,3240,-38.263005 144.174411,Moriac Primary School,785 Hendy Main Road,-38.24139 144.17557,2.4 km,2 mins
1173,3241,-38.20363 143.892824,Winchelsea Primary School,60 Main Street,-38.24449 143.98428,9.6 km,7 mins
1174,3242,-38.346704 143.740326,Birregurra Primary School,58 Beal Street,-38.34046 143.78651,15.0 km,14 mins
1177,3249,-38.388291 143.557159,St Brendan's School,727 Corangamite Lake Road,-38.27065 143.5188,16.0 km,14 mins
1180,3250,-38.311513 143.584742,Colac South West Primary School,238 Wilson Street,-38.34363 143.57203,10.0 km,11 mins
