,Shopping_Center_Name,Location,Postcode
50,DFO SOUTH WHARF,"-37.812733, 144.966947",3000
51,DIAMOND CREEK SHOPPING STATION,"-37.812733, 144.966947",3000
52,DINGLEY VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
53,DROMANA HUB SHOPPING CENTRE,"-37.812733, 144.966947",3000
54,EASTLAND SHOPPING CENTRE,"-37.812733, 144.966947",3000
55,EASTWOOD VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
56,ELIZA SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
57,ELTHAM VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
58,EMPORIUM MELBOURNE,"-37.812733, 144.966947",3000
59,ENDEAVOUR HILLS SHOPPING CENTRE,"-37.812733, 144.966947",3000
60,EPPING NORTH SHOPPING CENTRE,"-37.812733, 144.966947",3000
61,FEDERATION SQUARE (FED SQUARE),"-37.812733, 144.966947",3000
62,FOOTSCRAY MARKET,"-37.812733, 144.966947",3000
63,FOOTSCRAY PLAZA SHOPPING CENTRE,"-37.812733, 144.966947",3000
64,FOREST HILL CHASE SHOPPING CENTRE,"-37.812733, 144.966947",3000
65,FRANKSTON POWER CENTRE,"-37.812733, 144.966947",3000
66,GALLERIA MELBOURNE,"-37.812733, 144.966947",3000
67,GATEWAY PLAZA,"-37.812733, 144.966947",3000
68,GEELONG GATE HOMEMAKER CENTRE,"-37.812733, 144.966947",3000
69,GIPPSLAND CENTRE,"-37.812733, 144.966947",3000
70,GISBORNE VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
71,GLADSTONE PARK SHOPPING CENTRE,"-37.812733, 144.966947",3000
72,GREENSBOROUGH PLAZA,"-37.812733, 144.966947",3000
73,GREENVALE SHOPPING CENTRE,"-37.812733, 144.966947",3000
74,HAMPTON PARK SHOPPING CENTRE,"-37.812733, 144.966947",3000
75,HARBOUR TOWN MELBOURNE,"-37.812733, 144.966947",3000
76,HARVEY NORMAN - WANGARATTA,"-37.812733, 144.966947",3000
77,HARVEY NORMAN CENTRE - HOPPERS CROSSING,"-37.812733, 144.966947",3000
78,HARVEY NORMAN CENTRE MARIBYRNONG,"-37.812733, 144.966947",3000
79,HARVEY NORMAN CENTRE WARRNAMBOOL,"-37.812733, 144.966947",3000
80,HEALESVILLE WALK SHOPPING CENTRE,"-37.812733, 144.966947",3000
81,HIGHETT SHOPPING CENTRE,"-37.812733, 144.966947",3000
82,HIGHPOINT SHOPPING CENTRE,"-37.812733, 144.966947",3000
83,HOGAN'S CORNER SHOPPING CENTRE,"-37.812733, 144.966947",3000
84,HOME QUARTER DANDENONG,"-37.812733, 144.966947",3000
85,HOMECO. BALLARAT (FORM. WENDOUREE HOMEMAKER CENTRE),"-37.812733, 144.966947",3000
86,HOMEMAKER CITY MARIBYRNONG,"-37.812733, 144.966947",3000
87,HOMEMAKERS ALBURY WODONGA,"-37.812733, 144.966947",3000
88,HOMEPLUS HOMEMAKER CENTRE,"-37.812733, 144.966947",3000
89,HORSHAM PLAZA,"-37.812733, 144.966947",3000
90,IVANHOE PLAZA,"-37.812733, 144.966947",3000
91,KARINGAL HUB SHOPPING CENTRE,"-37.812733, 144.966947",3000
92,KEILOR SHOPPING CENTRE,"-37.812733, 144.966947",3000
93,KENNINGTON VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
94,LANSELL SQUARE,"-37.812733, 144.966947",3000
95,LILYDALE MARKETPLACE,"-37.812733, 144.966947",3000
96,LYNBROOK VILLAGE SHOPPING CENTRE,"-37.812733, 144.966947",3000
97,MALVERN CENTRAL,"-37.812733, 144.966947",3000
98,MANOR LAKES CENTRAL SHOPPING CENTRE,"-37.812733, 144.966947",3000
99,MARKET SQUARE SHOPPING CENTRE,"-37.812733, 144.966947",3000
100,MEADOW HEIGHTS SHOPPING CENTRE,"-37.812733, 144.966947",3000
101,MELBOURNE CENTRAL SHOPPING CENTRE,"-37.812733, 144.966947",3000
102,MELBOURNE GPO,"-37.812733, 144.966947",3000
103,Melton Gateway ,"-37.812733, 144.966947",3000
104,MIDVALLEY SHOPPING CENTRE,"-37.812733, 144.966947",3000
