Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3108,43056.0,43190.0,43136.0,43038.0,42942.0,42971.0,43320.0,43657.0,44086.0,44297.0,44511.0,44900.0,45445.0,45979.0,46735.0,47755.0,48674.0,49247.0,50187.0,51284.0,50821.0
3109,25724.0,25848.0,25968.0,25991.0,26212.0,26403.0,26489.0,26615.0,26689.0,26703.0,26654.0,26698.0,26806.0,26937.0,27080.0,27328.0,27367.0,27372.0,27299.0,27034.0,26589.0
3111,25724.0,25848.0,25968.0,25991.0,26212.0,26403.0,26489.0,26615.0,26689.0,26703.0,26654.0,26698.0,26806.0,26937.0,27080.0,27328.0,27367.0,27372.0,27299.0,27034.0,26589.0
3113,16828.0,16923.0,17032.0,17046.0,17180.0,17254.0,17263.0,17295.0,17334.0,17339.0,17348.0,17386.0,17424.0,17459.0,17514.0,17620.0,17633.0,17598.0,17534.0,17379.0,17168.0
3114,25371.0,25357.0,25313.0,25302.0,25408.0,25533.0,25633.0,25771.0,25859.0,25883.0,25810.0,25901.0,26057.0,26256.0,26430.0,26706.0,26812.0,26855.0,26794.0,26561.0,26132.0
3115,27521.0,27716.0,27854.0,28038.0,28418.0,28644.0,28688.0,28898.0,29195.0,29208.0,29115.0,29127.0,29188.0,29230.0,29257.0,29365.0,29375.0,29335.0,29251.0,29008.0,28418.0
3116,38235.0,38558.0,38754.0,38817.0,39159.0,39486.0,39857.0,40256.0,40724.0,40973.0,41245.0,41530.0,41938.0,42457.0,43105.0,43906.0,44674.0,45190.0,45817.0,46029.0,45503.0
3122,12912.0,13172.0,13343.0,13423.0,13505.0,13626.0,13835.0,14022.0,14241.0,14369.0,14417.0,14531.0,14732.0,15066.0,15601.0,16192.0,16466.0,16670.0,16749.0,16689.0,15898.0
3123,28026.0,28392.0,28626.0,28799.0,29031.0,29251.0,29700.0,30250.0,30726.0,30978.0,31051.0,31348.0,31694.0,32100.0,32676.0,33374.0,33815.0,34078.0,34244.0,34043.0,32908.0
3124,64051.0,64479.0,64736.0,64978.0,65355.0,65675.0,66353.0,67180.0,67997.0,68408.0,68602.0,69187.0,69867.0,70703.0,71818.0,73146.0,73720.0,74006.0,74151.0,73395.0,70510.0
3125,14503.0,14648.0,14710.0,14835.0,15243.0,15612.0,15966.0,16191.0,16560.0,16658.0,16979.0,17522.0,18002.0,18437.0,18835.0,19308.0,19757.0,19966.0,20244.0,20302.0,19790.0
3126,31269.0,31368.0,31446.0,31576.0,31816.0,32085.0,32302.0,32535.0,32757.0,32880.0,32947.0,33014.0,33174.0,33341.0,33536.0,33805.0,34028.0,34201.0,34228.0,33784.0,32422.0
3127,76365.0,76571.0,76829.0,77101.0,77578.0,78170.0,78920.0,79727.0,80581.0,80960.0,81046.0,81561.0,82326.0,83308.0,84276.0,85373.0,85935.0,86310.0,86543.0,85914.0,82500.0
