geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,routeussp,ticketzone,postcode,suburb_name,ward_name,easting,northing,gisfid,fme_feature_type,googlemaps_drive_to
"-37.9716280178, 145.2661920111","{""coordinates"": [145.2661920111, -37.9716280178], ""type"": ""Point""}",MGA zone 55,27787,Monteith Cres/Scotsburn Way (Endeavour Hills),-37.97162801776210,145.26619201106500,843,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347711,5795914,1084,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.97162801776209,145.26619201106539/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9693359978, 145.2801351524","{""coordinates"": [145.2801351524, -37.9693359978], ""type"": ""Point""}",MGA zone 55,27795,Hallam North Rd/Gleneagles Dr (Endeavour Hills),-37.96933599781460,145.28013515244000,843,2,3802,ENDEAVOUR HILLS,FOUR OAKS,348932,5796192,1092,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.96933599781463,145.28013515244035/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9689530636, 145.2792099328","{""coordinates"": [145.2792099328, -37.9689530636], ""type"": ""Point""}",MGA zone 55,27796,Sulky Ct/Gleneagles Dr (Endeavour Hills),-37.9689530636093,145.2792099328340,843,2,3802,ENDEAVOUR HILLS,FOUR OAKS,348849,5796233,1093,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.9689530636093,145.2792099328344/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9740999272, 145.2774159849","{""coordinates"": [145.2774159849, -37.9740999272], ""type"": ""Point""}",MGA zone 55,27798,Brando Ct/Reema Bvd (Endeavour Hills),-37.9740999272082,145.2774159848830,843,2,3802,ENDEAVOUR HILLS,FOUR OAKS,348702,5795658,1095,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.9740999272082,145.2774159848826/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9861040187, 145.2749950887","{""coordinates"": [145.2749950887, -37.9861040187], ""type"": ""Point""}",MGA zone 55,27804,Forrest Ct/James Cook Dr (Endeavour Hills),-37.98610401872720,145.27499508870900,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,348515,5794323,1101,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.98610401872717,145.27499508870864/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9889029624, 145.2729031236","{""coordinates"": [145.2729031236, -37.9889029624], ""type"": ""Point""}",MGA zone 55,27808,Paran Cl/David Collins Dr (Endeavour Hills),-37.988902962446400,145.27290312362800,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,348337,5794009,1104,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.988902962446446,145.27290312362817/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9916639875, 145.265755011","{""coordinates"": [145.265755011, -37.9916639875], ""type"": ""Point""}",MGA zone 55,27813,Preston Ave/David Collins Dr (Endeavour Hills),-37.99166398749060,145.26575501098200,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347715,5793690,1109,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.99166398749056,145.26575501098222/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9900220195, 145.2643930705","{""coordinates"": [145.2643930705, -37.9900220195], ""type"": ""Point""}",MGA zone 55,27815,Robert Molyneux Ave/David Collins Dr (Endeavour Hills),-37.990022019501600,145.26439307049000,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347592,5793870,1111,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.990022019501644,145.26439307049023/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9895439619, 145.258939047","{""coordinates"": [145.258939047, -37.9895439619], ""type"": ""Point""}",MGA zone 55,27818,RavenHill Cres/Robert Molyneux Ave (Endeavour Hills),-37.98954396189820,145.25893904703200,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347112,5793915,1114,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.98954396189815,145.25893904703227/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9883459514, 145.2583630715","{""coordinates"": [145.2583630715, -37.9883459514], ""type"": ""Point""}",MGA zone 55,27819,James Cook Dr/RavenHill Cres (Endeavour Hills),-37.98834595141780,145.2583630714920,861,2,3802,ENDEAVOUR HILLS,FOUR OAKS,347058,5794047,1115,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.98834595141778,145.2583630714919/@your+location,17z/data=!4m2!4m1!3e0"
